project_id,project_name,finance_type,sector,province,district,latitude,longitude,status,approval_date,construction_start_date,financial_close_date,operation_date,committed_usd,disbursed_usd,year
89256,"China Construction Bank contributes $690,000 to syndicated loan with PT Solusi Tunas Pratama for unspecified purposes (Linked to Project ID#66455, 71241, 89257, 89258, 89259, 89260, 89261)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,690000.0,690000.0,2018
89257,"China Construction Bank contributes $7.52 million to syndicated loan with PT Solusi Tunas Pratama for unspecified purposes (Linked to Project ID#66455, 71241, 89256, 89258, 89259, 89260, 89261)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,7520000.0,7520000.0,2018
89258,"China Construction Bank contributes $1.98 million to syndicated loan with PT Solusi Tunas Pratama for unspecified purposes (Linked to Project ID#66455, 71241, 89256, 89257, 89259, 89260, 89261)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,1980000.0,1980000.0,2018
89259,"Bank of China contributes $1.98 million to syndicated loan with PT Solusi Tunas Pratama for unspecified purposes (Linked to Project ID#66455, 71241, 89256, 89257, 89258, 89259, 89260)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,1980000.0,1980000.0,2018
89260,"Bank of China contributes $7.52 million to syndicated loan with PT Solusi Tunas Pratama for unspecified purposes (Linked to Project ID#66455, 71241, 89256, 89257, 89258, 89259, 89261)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,7520000.0,7520000.0,2018
89261,"Bank of China contributes $690,000 to syndicated loan with PT Solusi Tunas Pratama for unspecified purposes (Linked to Project ID#66455, 71241, 89256, 89257, 89258, 89259, 89261)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,690000.0,690000.0,2018
89373,BOC Jakarta Bank provides a Rp575 billion loan to Bank Mandiri of Indonesia,DF,BANKING AND FINANCIAL SERVICES,,,,,Completion,2018-01-01,,,,40395180.7279226,40395180.7279226,2018
89382,Chinese Embassy at Indonesia donated books and tablets to Dell Institute of Technology at the Freshmen Welcome Ceremony,DF,EDUCATION,,,,,Completion,2018-09-07,2018-09-07,,2018-09-07,,,2018
89389,"The Chinese government donated humanitarian aid for victims of the earthquake and tsunami in Central Sulawesi, Indonesia",DF,EMERGENCY RESPONSE,,,,,Completion,2018-10-09,2018-10-09,,2018-10-09,,,2018
92462,"ICBC contributes $150 million to $1.62 billion syndicated loan to PLN for 35,000MW electricity program (Linked to Project ID#61050)",DF,ENERGY,,,,,Implementation,2018-10-25,,,2019-12-31,150000000.0,150000000.0,2018
96658,BOC Hong Kong contributes $25 million to a $350 million syndicated loan to Adaro's mining contractor unit PT Saptaindra Sejati,DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Pipeline: Commitment,2018-11-01,,,,25000000.0,25000000.0,2018
96738,ICBC contributes $20 million to $80 million syndicated loan to PT Elnusa Tbk,DF,BUSINESS AND OTHER SERVICES,,,,,Pipeline: Commitment,2018-02-21,,,,20000000.0,20000000.0,2018
96820,ICBC BCA provides $65 million loan to PT Aneka Tambang Tbk for unspecified purposes,DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-01-01,,,2022-05-26,65000000.0,65000000.0,2018
98166,"Bank of China provides a IDR 100 million grant to Lombok, Indonesia for earthquake efforts",DF,EMERGENCY RESPONSE,,,,,Completion,2018-08-24,2018-08-24,,2018-08-24,7025.24882224741,7025.24882224741,2018
49828,Chinese Government provides 2 pandas to Taman Safar Indonesia for 10-year period,DF,"AGRICULTURE, FORESTRY, FISHING",,,,,Implementation,2017-01-01,2017-09-28,,,,,2017
49895,Hainan Province offers scholarships to 50 students from Bali,DF,EDUCATION,,,,,Pipeline: Pledge,2017-07-25,2018-09-01,,2023-06-01,,,2017
61320,"CDB provides $2.3805 billion loan tranche for the Jakarta-Bandung High Speed Rail Project (Linked to Project ID#61321, #61322, and #96344)",DF,TRANSPORT AND STORAGE,,,,,Implementation,2017-05-14,2016-01-21,,2019-05-01,2380500000.0,2380500000.0,2017
61321,"CDB provides RMB-denominated loan tranche for the Jakarta-Bandung High Speed Rail Project (Linked to Project ID#61320, #61322, and #96344)",DF,TRANSPORT AND STORAGE,,,,,Completion,2017-05-14,2016-01-21,,2022-11-16,1587000000.0,1587000000.0,2017
61396,ICBC contributes IDR 200 billion to IDR 5.9 trillion syndicated loan for Palembang Light Rail Transit (LRT) Construction Project,DF,TRANSPORT AND STORAGE,,,,,Completion,2017-10-31,2015-11-02,,2019-05-01,14947317.0785918,14947317.0785918,2017
61426,"ICBC contributes IDR 500 billion to syndicated loan for Section 2 of Manado-Bitung Toll Road Project (Linked to Project ID#46420,#69113)",DF,TRANSPORT AND STORAGE,,,,,Completion,2017-10-13,2014-10-12,,2019-12-25,37368292.6964796,37368292.6964796,2017
61430,ICBC contributes IDR 100 billion to IDR 3.22 trillion syndicated loan for Pemalang-Batang Toll Road Construction Project,DF,TRANSPORT AND STORAGE,,,,,Completion,2017-05-24,2016-06-17,,2018-11-09,7473658.53929593,7473658.53929593,2017
62064,"ICBC contributes $52 million to $520 million syndicated loan for 700MW Sumsel-1 Power Plant Construction Project (Linked to Project ID#69418, #69419)",DF,ENERGY,,,,,Implementation,2017-01-09,2017-03-01,,,52000000.0,52000000.0,2017
62261,China Eximbank contributes $122.4 million to overseas investment loan for Phase 1 of 244MW Sorik Marapi Geothermal Power Plant Construction Project (Linked to Project ID#69599),DF,ENERGY,,,,,Completion,2017-10-01,2016-10-16,,2019-09-28,122400000.0,122400000.0,2017
62262,ICBC contributes $120 million to $660 million syndicated loan to Star Energy Geothermal Ltd. to facilitate acquisition of geothermal assets (Linked to Project ID#73327),DF,ENERGY,,,,,Completion,2017-03-01,2018-04-18,,,120000000.0,120000000.0,2017
62280,China Eximbank provides RMB 1 billion loan for North Sulawesi Cement Production Project (Linked to Project ID#49812),DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2017-02-24,2017-02-01,,2018-10-12,147984894.873379,147984894.873379,2017
66265,"ICBC contributes to $575 million syndicated loan for development of Transmart Carrefour stores (Linked to Project ID#98654, 98675, 98657, 98656)",DF,BUSINESS AND OTHER SERVICES,,,,,Pipeline: Commitment,2017-01-01,,,,82142857.1,82142857.1,2017
66266,ICBC participates in syndicated loan to PT Para Bandung Propertindo,DF,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,,,Pipeline: Commitment,2017-01-01,,,,,,2017
66267,ICBC provides IDR 400 billion loan for the World Capital Tower Construction Project,DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2017-12-09,2013-10-10,,2019-04-28,29894634.1571837,29894634.1571837,2017
66269,ICBC Indonesia contributes IDR 500 billion to syndicated loan for palm oil and rubber plantation company in Indonesia,DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2017-04-11,,,,37368292.6964796,37368292.6964796,2017
66405,ICBC Indonesia provides IDR 350 billion loan to PT Perkebunan Nusantara XII for Reforestation Project,DF,"AGRICULTURE, FORESTRY, FISHING",,,,,Pipeline: Commitment,2017-01-01,,,,26157804.8875357,26157804.8875357,2017
66406,ICBC Indonesia provides $47.89 million loan to PT Royal Pacific Nusantara for Renaissance Bali Nusa Dua Hotel Construction Project,DF,TRADE POLICIES AND REGULATIONS,,,,,Completion,2017-01-01,,,2018-05-02,47890000.0,47890000.0,2017
66410,ICBC Indonesia provides IDR 100 billion investment loan to PT Varia Usaha Beton (Linked to Project ID#66411),DF,BUSINESS AND OTHER SERVICES,,,,,Pipeline: Commitment,2017-01-01,,,,7473658.53929593,7473658.53929593,2017
66411,ICBC Indonesia provides IDR 50 billion loan to PT Varia Usaha Beton for working capital purposes (Linked to Project ID#66410),DF,BUSINESS AND OTHER SERVICES,,,,,Pipeline: Commitment,2017-01-01,,,,3736829.26964796,3736829.26964796,2017
66413,CDB provides $24 million loan to ZTE Energy for Palm Garden Project,DF,"AGRICULTURE, FORESTRY, FISHING",,,,,Pipeline: Commitment,2017-01-01,,,,24000000.0,24000000.0,2017
66414,ICBC Indonesia provides $110 million loan for Integrated Palm Oil Plantation Development Project,DF,"AGRICULTURE, FORESTRY, FISHING",,,,,Pipeline: Commitment,2017-01-01,,,,110000000.0,110000000.0,2017
66416,ICBC Indonesia contributes IDR 1 trillion to IDR 4 trillion syndicated loan for East Palapa Ring Package Fiber Optic Network Project,DF,COMMUNICATIONS,,,,,Completion,2017-03-29,2017-07-01,,2019-10-14,74736585.3929593,74736585.3929593,2017
66445,"CDB provides $76.5 million buyer’s credit loan for ZTE Fiber-to-the-Home (FTTH) Network Project (Linked to Project ID#66446, #66448)",DF,COMMUNICATIONS,,,,,Pipeline: Commitment,2017-11-17,,,,76500000.0,76500000.0,2017
66446,"CDB provides $29.75 million buyer’s credit loan for ZTE Fiber-to-the-Home (FTTH) Network Project (Linked to Project ID#66445, #66448)",DF,COMMUNICATIONS,,,,,Completion,2017-11-17,,,,29750000.0,29750000.0,2017
